"","all_loans_amt_outstanding_absolute","all_loans_amt_outstanding_percent_change","all_loans_no_acs_absolute","all_loans_no_acs_percent_change","avg_income","avgpixelvalue","births_in_pvt_hosp_percent","births_in_pvt_hosp_percent_point_change_yoy","comp_percent","consumer_durable_loans","credit_card_loans","education_loans","four_wheeler_percent","fridge_ownership","government_post_office","graduates_and_above","housing_loans","local_or_rural_bank_atm","local_or_rural_bank_branch","local_or_rural_bank_mitra","lpgpng_percent","no_households","private_banks_savings_deposits_share","private_sector_atm","private_sector_bank_mitra","private_sector_branch","public_sector_atm","public_sector_bank_mitra","public_sector_branch","savings_deposits_changeyoy","savings_deposits_value","term_deposits_changeyoy","term_deposits_value","toilet_percent","tv_comp_vehicle_phone_percent","tv_percent","two_wheeler_percent","underweight_births_percent","underweight_births_percent_point_change_yoy","vehicle_loans","workers_100","yoy_percent_change","A_Score"
"1",0.639432165093129,0.634111632422443,0.635152967338529,0.656718460562813,0.720195598135055,0.664442738308037,0.681788933435987,0.697001982097674,0.693607544204946,0.693138877306369,0.690850045653619,0.713351551102323,0.724627430510244,0.664602003697137,0.717151056851312,0.696341532474402,0.705009698872845,0.706073444013989,0.711756968255439,0.703237943874356,0.656193731268806,0.69192922306146,0.663679363010097,0.677845862857256,0.681081289749751,0.676769598381459,0.69075929120162,0.677295928389208,0.727858679659968,0.680494455792718,0.689789436639429,0.682455118100881,0.684063828172435,0.67541014728535,0.695357893741007,0.658550016989969,0.609249230297575,0.685979950962476,0.69531841325129,0.710251938626723,0.705232514513494,0.677855071633889,0.643862058918407
"2",0.704945106820449,0.675410802623001,0.710194917132345,0.691441355412955,0.693149233532579,0.713291736577181,0.635806047829238,0.695681152500249,0.712849004026974,0.703579385553471,0.749049735435027,0.722031214784765,0.683070601851852,0.639950491174514,0.659889755799562,0.641094458671704,0.679993676696129,0.678418795617876,0.69001607091165,0.701595016740351,0.71090533541061,0.700736202218983,0.725108375089923,0.701618009892839,0.711636191119474,0.712591251706333,0.721972758051887,0.66760918013156,0.692958102464875,0.696560767076541,0.686312335740696,0.678486869909328,0.682689379263551,0.708207859675142,0.651485022913594,0.690173209296725,0.663144863351178,0.690823621802705,0.662166104419665,0.685720428926951,0.703020913554101,0.696723115589633,0.65021556072259
"3",0.702360686799761,0.683257103147237,0.717958177554816,0.687730646441326,0.701946645682079,0.709098489970701,0.745606420565302,0.696548631792097,0.682255487314199,0.672148306417785,0.654509115856142,0.685563885055678,0.687573464024588,0.721848698974388,0.690119030701178,0.709937848960339,0.700376358199416,0.703468113831716,0.692718748234762,0.709074883852287,0.726067286080305,0.700540851102725,0.683622931933442,0.694895306570446,0.698983034691301,0.680615410842141,0.698992730567654,0.757474186968566,0.746794268776568,0.700349575515446,0.676587063378137,0.655780187821511,0.70818987661968,0.706917029623452,0.673166679663707,0.70995807456546,0.697247817768699,0.710605752376174,0.692993627340258,0.707130818308622,0.701934923835125,0.711309312746188,0.650782021417262
"4",0.673980636712021,0.688698613720903,0.669087940340455,0.721399285306874,0.681966770939209,0.685597904903449,0.656545832723369,0.699401986861672,0.721537248604918,0.738337253584229,0.671014610849725,0.732320359119606,0.715676409479168,0.681562003622552,0.672774425739196,0.725896970464885,0.688766114805035,0.688346543013169,0.707936083079741,0.6716382505353,0.704951721146822,0.673769962136817,0.690321718575917,0.708779885876602,0.703006034884497,0.72800658555515,0.689356547216588,0.690664343056808,0.698116516919095,0.671138651697788,0.717462365197872,0.725520439609555,0.714944432245157,0.689506400071716,0.76003107824977,0.732268755025117,0.709288955896686,0.684014546675581,0.704031331238896,0.690935970499497,0.703668660122781,0.679379991295224,0.642680384016808
"5",0.705543979841498,0.6763075198902,0.726918229684003,0.715800864793807,0.689235113623493,0.704947881451431,0.623331323429991,0.706267138405468,0.665724285383557,0.717593459799205,0.703135123873678,0.742687124083331,0.673122384166168,0.731896645489037,0.676509051806187,0.726864461435709,0.724058652591498,0.723223244147157,0.664668376201881,0.690797653532267,0.690990680997746,0.71986352303989,0.684276958044564,0.679842534087577,0.689366276113623,0.70370689473524,0.695623319938154,0.674010180211001,0.68971896264901,0.650142983246788,0.704344958829172,0.745896557759287,0.685604367928915,0.695942816069004,0.691824600520253,0.707009285974535,0.680921051166292,0.691837858027482,0.664890432245177,0.704021521672273,0.69257732873692,0.6644361802585,0.618207634198251
"6",0.71959828679097,0.708195232743946,0.702521458559131,0.665399301888207,0.693220824808356,0.708212199323724,0.69595578596896,0.670178405312327,0.727574593442257,0.733123095360383,0.68148797324244,0.690549079282648,0.673894233717496,0.707570888932496,0.773489575221023,0.734793281653747,0.681315515530055,0.68050638906908,0.67672750334347,0.642809569128163,0.683227054345791,0.711516525974222,0.712294014691964,0.706778529471473,0.707287591180371,0.713150172099688,0.698110343897174,0.696609155809624,0.681704881478548,0.679417905198225,0.736038421495215,0.68161326288235,0.73387856599989,0.698163445683534,0.680390098939846,0.702445654041497,0.693500409480487,0.719562793042523,0.714319309937867,0.687992238128437,0.697711942357811,0.709784854191634,0.660381818948831
"7",0.672461350096384,0.734061660765812,0.741223495966212,0.727133166914189,0.699200205161637,0.714235390826879,0.64568414171224,0.75997882732661,0.71665742493483,0.700503934887062,0.736897808351667,0.661036875758956,0.719280526066962,0.685559179324665,0.681435605889201,0.712729452875031,0.704836670284047,0.710267383566884,0.647121426126505,0.640734401023405,0.705010692976611,0.704005081865533,0.698820170285745,0.683309458429891,0.686344105939098,0.684401575896421,0.724829156590628,0.699852129977806,0.697708405224639,0.733419897446593,0.722277290400863,0.690090918761302,0.715656199615528,0.693763661943445,0.740917827911071,0.682622637743396,0.643327900621924,0.661483282908507,0.744465925966581,0.698645811778021,0.708954007513419,0.734482760492669,0.699030101278577
"8",0.703167097634259,0.745881089956111,0.670380145298365,0.764647940067366,0.708637103823596,0.696970853787775,0.595187305715917,0.631465645662629,0.706431410282638,0.708869169046648,0.66298832854954,0.677200334824522,0.692581561583578,0.672468243266405,0.704325856148744,0.665269978154935,0.679693210891813,0.677313140017785,0.696575237675347,0.755872038977736,0.650382811833381,0.745560431553476,0.672858239557766,0.729060241954549,0.732957524958449,0.742644633979313,0.719059890039096,0.675395523119122,0.696299350132819,0.731115855353668,0.683069158155,0.714523207790251,0.677020270074635,0.718861916159095,0.658478323938992,0.694535832089862,0.695069292077014,0.719188054363115,0.689058010947097,0.665783538985576,0.706548795867844,0.70096521906576,0.6310407780969
"9",0.667130310527376,0.754295616627047,0.689883979781429,0.721223244516254,0.685729546436572,0.642502375997404,0.677695855425336,0.680140078031385,0.661977394263491,0.652425510099099,0.679847177786949,0.675501330397399,0.664248340369785,0.641520710820923,0.690220755019973,0.632844050033573,0.671360752187935,0.662271773009112,0.646783298273227,0.706556684908051,0.709438914224818,0.702835047051346,0.657008861295879,0.700865408622845,0.702452318823551,0.689166224729699,0.71939432559394,0.721863568540624,0.720661060955448,0.71238475759566,0.709820112108193,0.703805383086729,0.684645826227984,0.750921999677796,0.7006460332935,0.674601154033275,0.602848196869603,0.6800604620334,0.65739548652991,0.695199067917652,0.645389207627535,0.731560739238224,0.614681425424329
"10",0.66739354175613,0.708570195681132,0.645543952239604,0.681841237333781,0.615734448662978,0.676996578461181,0.656880449510565,0.671423383787602,0.596873996643749,0.648575703046535,0.609168969696635,0.658801230036248,0.595289400643755,0.620832371335135,0.684467002234935,0.635535704230451,0.636452855533055,0.647016956620615,0.68438056237421,0.688440239902784,0.610850892975127,0.678482836869615,0.600646776200391,0.675884278515386,0.661075166903548,0.683092069771624,0.673292078384403,0.676196240174542,0.67176064232115,0.696077758526512,0.633067161504774,0.69653577793933,0.637541141456583,0.636340765588003,0.582818191384993,0.600773475189951,0.710988202021575,0.633385309865573,0.693046928434184,0.636857290766684,0.643948693088034,0.668256007175332,0.643907163061047
